Inicio_Faena;Inicio_Venta;Embarcacion;Marca_Motor;Modelo_Motor;Caballos_Motor;Origen;Origen_Latitud;Origen_Longuitud;Millas_Recorridas;Especie;Aparejo;Volumen_Kg;Talla_cm;Precio_Kg;Venta;Precio_Galon;Costo_Combustible;Ganancia
01 03 2019 07:25;01 03 2019 07:50;MI PAUL;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;210.00;15.00;3.00;630.00;6.09;0.403367026;629.60
01 03 2019 07:30;01 03 2019 07:50;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;210.00;15.00;3.00;630.00;6.09;0.403367026;629.60
01 03 2019 07:30;01 03 2019 07:50;VALERY;PANTHER;PANTHER 190F;10;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORDEL;210.00;15.00;3.00;630.00;6.09;0.403367026;629.60
01 03 2019 07:30;01 03 2019 07:50;JOSUE;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;210.00;15.00;3.00;630.00;6.09;0.403367026;629.60
01 03 2019 07:32;01 03 2019 07:50;MI ROSITA;PARSUN;PARSUN T15BM;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;60.00;30.00;1.50;90.00;6.09;0.400373209;89.60
01 03 2019 09:13;01 03 2019 09:33;NOEMI;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;180.00;34.00;1.50;270.00;6.09;0.402768263;269.60
01 03 2019 09:18;01 03 2019 09:33;LUIS ALEXANDER;TOYOTA;TOYOTA;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;34.00;1.50;180.00;6.09;0.401570736;179.60
01 03 2019 12:47;01 03 2019 13:12;MAYRA;YAMAHA;YAMAHA E15DMH;15;CORCOVADO;-8.93;-78.68;14.25;CABALLA;CORDEL;180.00;20.00;2.00;360.00;6.09;4.379006321;355.62
01 03 2019 13:25;01 03 2019 13:40;MARLENY;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;PEJERREY;CORTINA;60.00;14.00;1.50;90.00;6.09;0.400373209;89.60
02 03 2019 08:35;02 03 2019 09:00;MI PAUL;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;27.00;1.50;135.00;6.09;0.400971972;134.60
02 03 2019 08:35;02 03 2019 09:00;JEREMIAS;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;LENGUADO;CORTINA;30.00;59.00;40.00;1200.00;6.09;5.920911171;1194.08
04 03 2019 08:07;04 03 2019 08:27;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;LENGUADO;CORTINA;20.00;39.00;30.00;600.00;6.09;5.91795515;594.08
04 03 2019 08:20;04 03 2019 08:45;MI PAUL;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;CABRILLA;CORTINA;1.50;27.00;15.00;22.50;6.09;5.91248651;16.59
04 03 2019 08:21;04 03 2019 08:46;JEREMIAS;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;CHITA;CORTINA;2.00;18.00;13.00;26.00;6.09;5.912634311;20.09
04 03 2019 09:15;04 03 2019 09:33;IKER;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;MISHO;CORTINA;15.00;18.00;8.00;120.00;6.09;5.916477139;114.08
05 03 2019 07:56;05 03 2019 08:16;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;CHITA;CORTINA;15.00;17.00;13.00;195.00;6.09;5.916477139;189.08
05 03 2019 07:56;05 03 2019 08:16;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;PINTADILLA;CORTINA;15.00;15.00;10.00;150.00;6.09;5.916477139;144.08
05 03 2019 08:17;05 03 2019 08:42;JEREMIAS;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;LENGUADO;CORTINA;30.00;57.00;40.00;1200.00;6.09;5.920911171;1194.08
05 03 2019 09:56;05 03 2019 10:14;IKER;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;MOJARRILLA;CORTINA;30.00;12.00;1.00;30.00;6.09;5.920911171;24.08
05 03 2019 10:32;05 03 2019 10:57;MI PAUL;YAMAHA;YAMAHA E15DMH;15;LA ISLA;-9.16;-78.63;19.42;CHIRI;CORTINA;180.00;17.00;3.00;540.00;6.09;5.965251495;534.03
05 03 2019 10:40;05 03 2019 10:58;MI ROSITA;PARSUN;PARSUN T15BM;15;LA PAMPA;-9.02;-78.63;1.31;MISHO;CORDEL;30.00;18.00;6.00;180.00;6.09;0.399774445;179.60
05 03 2019 13:53;05 03 2019 14:13;NOEMI;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORDEL;90.00;20.00;2.00;180.00;6.09;0.400971972;179.60
06 03 2019 08:07;06 03 2019 08:27;NOEMI;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;47.00;2.00;240.00;6.09;0.401570736;239.60
06 03 2019 08:09;06 03 2019 08:27;MI ROSITA;PARSUN;PARSUN T15BM;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;50.00;2.00;240.00;6.09;0.401570736;239.60
06 03 2019 08:12;06 03 2019 08:27;LUIS ALEXANDER;TOYOTA;TOYOTA;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;47.00;2.00;240.00;6.09;0.401570736;239.60
